country,year,month,fx_reserves
australia,2010,4,37881.5150539503
australia,2012,10,46853.3064688592
australia,2014,4,54382.7033411748
australia,2015,7,42847.3628647141
australia,2015,8,41754.2048720296
australia,2016,10,39286.4946035209
australia,2019,6,50947.9317628577
australia,2020,6,38472.1416209821
australia,2022,2,52150.809506274
australia,2006,10,48545.2614477324
australia,2007,7,67165.5696577725
australia,2009,11,39134.9076313127
australia,2011,6,40318.4478639783
australia,2012,7,45126.5407787756
australia,2014,5,57182.618527205
australia,2014,9,50147.7058785032
australia,2015,4,46398.8111928239
australia,2015,6,45089.6465960376
australia,2017,1,41385.0702527965
australia,2018,12,51077.0869203007
australia,2020,9,39218.3719656214
australia,2022,6,49741.362563999
australia,2006,2,40007.4980160947
australia,2007,5,68061.2843568461
australia,2007,12,24768.4918388501
australia,2010,1,38724.4194881658
australia,2010,10,39450.2202762794
australia,2011,7,40408.560348569
australia,2012,4,45560.8205309033
australia,2012,8,41192.0480851162
australia,2013,7,46905.745801673
australia,2015,5,48330.4560316478
australia,2016,1,36080.8288432681
australia,2017,7,49815.8335773431
australia,2021,2,39935.6885028123
australia,2021,6,43977.8437909205
australia,2021,7,42550.4741020886
australia,2022,1,52175.2263261253
australia,2023,2,50719.6495009747
australia,2023,10,51275.746687062
australia,2009,2,28695.8967011557
australia,2009,4,35044.1249892837
australia,2009,12,38950.1596531073
australia,2010,6,34097.7346243644
australia,2010,12,38659.3164774333
australia,2012,6,44059.4265630311
australia,2014,8,52833.9849347732
australia,2014,10,44210.5215812262
australia,2016,6,43500.781948198
australia,2017,3,55028.58592514
australia,2017,12,62617.3151181818
australia,2018,1,49328.2295813395
australia,2018,4,51381.2726250396
australia,2018,9,49782.9122680221
australia,2019,12,55603.5757034779
australia,2020,3,52758.1770470951
australia,2020,5,36637.8756484503
australia,2020,11,39923.373710592
australia,2021,4,43253.2526935531
australia,2021,11,53042.2124376646
australia,2022,4,50056.1637777599
australia,2022,5,50594.605271931
australia,2023,8,54101.0640951812
australia,2024,1,50571.0882936918
australia,2006,12,53448.1459577347
australia,2008,5,31514.2191278606
australia,2008,12,30690.8582420435
australia,2009,1,28395.8922379686
australia,2011,2,36921.2527726694
australia,2013,4,47908.8520088999
australia,2013,6,45014.7597367296
australia,2014,12,50814.0596297978
australia,2015,1,40687.5069341157
australia,2016,9,43580.8105168977
australia,2006,1,42263.5916751887
australia,2016,12,49797.0937227773
australia,2006,6,45866.1904852359
australia,2017,2,42611.8299632689
australia,2006,11,49675.4748707124
australia,2017,8,53432.3728776188
australia,2007,3,55805.5599565821
australia,2020,10,39224.9119870807
australia,2007,10,31138.2963547178
australia,2023,4,54302.4398224104
australia,2007,11,26994.250571399
australia,2023,6,52501.8994012008
australia,2009,6,40045.423233961
australia,2011,3,33259.4210000325
australia,2011,9,39695.5094152847
australia,2012,1,45288.796574799
australia,2012,2,48564.1423140062
australia,2012,11,43753.7415810908
australia,2014,1,43445.1050894235
australia,2014,6,55856.0118400436
australia,2014,11,49389.7363769279
australia,2015,3,51270.0142101379
australia,2016,2,35213.5752567864
australia,2016,4,41783.1804360274
australia,2017,10,53309.201944647
australia,2017,11,57959.029787475
australia,2018,8,48369.5870766756
australia,2018,10,42090.3599070106
australia,2019,4,49911.7523467835
australia,2020,7,39550.6393355754
australia,2021,12,53789.5577143513
australia,2022,10,49820.6088803906
australia,2023,7,53989.2102850114
australia,2024,3,49639.9172045615
australia,2024,7,51906.1146165047
australia,2006,5,49615.006092537
australia,2007,6,65957.9086179725
australia,2008,3,30965.208619884
australia,2013,3,46724.0654393761
australia,2016,8,38409.7391143695
australia,2017,6,57848.1702251404
australia,2019,3,51214.4098018827
australia,2020,2,50799.2338835155
australia,2022,3,52182.4998036993
australia,2022,9,49965.9422850729
australia,2023,1,53440.4824456365
australia,2023,5,51556.7344434475
australia,2006,4,46839.2052678739
australia,2006,7,50781.7669379911
australia,2006,9,44651.4131142197
australia,2007,1,57604.983050689
australia,2007,9,44583.6939735463
australia,2008,2,30903.4153092678
australia,2008,6,32128.6773541317
australia,2008,9,26544.7767627799
australia,2009,5,38827.0979088652
australia,2009,7,41646.4902859596
australia,2009,9,40477.1193243522
australia,2010,5,33207.2038488135
australia,2010,8,34341.5702118844
australia,2010,11,38344.2452626447
australia,2011,4,37931.5979238847
australia,2011,5,39297.4581708389
australia,2011,8,42126.9109393168
australia,2012,3,47695.1046497068
australia,2012,5,47755.664253951
australia,2013,1,44014.2834328895
australia,2013,8,46267.401725891
australia,2016,3,42162.46423711
australia,2018,3,55496.2662418474
australia,2018,5,59028.3191318761
australia,2019,10,43960.6874094775
australia,2021,1,38078.5767082866
australia,2021,3,43643.0068068474
australia,2022,12,53385.3013296459
australia,2023,11,53648.6988601744
australia,2024,5,50870.4139726027
brazil,2006,5,62675.5280265676
brazil,2007,7,155190.618218185
brazil,2008,8,204216.472870895
brazil,2009,2,185851.842309785
brazil,2010,11,283966.234457841
brazil,2012,7,374399.471074009
brazil,2014,11,372869.935724278
brazil,2015,5,364075.755513349
brazil,2017,11,378283.255696628
brazil,2019,3,381359.235678625
brazil,2019,8,383171.29814158
brazil,2020,8,351822.167371782
brazil,2020,11,352166.998744368
brazil,2020,12,351518.545352004
brazil,2023,5,335282.78548157
brazil,2023,11,339911.424336521
brazil,2006,1,56309.3732262336
brazil,2006,9,72745.6438456584
brazil,2010,5,248541.294051816
brazil,2010,7,256035.871368226
brazil,2010,12,287056.03725354
brazil,2013,5,371403.473227219
brazil,2013,8,363979.341077622
brazil,2013,10,361643.251051045
brazil,2014,2,359825.685104708
brazil,2015,3,360179.506481951
brazil,2017,5,373748.018339297
brazil,2017,8,378989.982426156
brazil,2018,7,376784.274288715
brazil,2020,5,341948.931331214
brazil,2020,7,350392.653720282
brazil,2021,2,352322.846287571
brazil,2021,7,348075.37348662
brazil,2021,11,360334.774428278
brazil,2022,1,350909.160914194
brazil,2022,12,317118.738103422
brazil,2024,1,346509.269747775
brazil,2006,2,56816.3268650159
brazil,2008,4,194825.570319574
brazil,2008,11,193788.385106174
brazil,2009,4,189591.604697846
brazil,2010,3,242560.993957328
brazil,2010,4,246017.655257672
brazil,2011,8,351435.589105773
brazil,2012,8,375439.763392691
brazil,2012,12,369565.972392636
brazil,2013,4,375490.104065328
brazil,2013,9,365777.670618822
brazil,2014,10,373318.156317916
brazil,2016,3,355029.823791557
brazil,2018,8,378792.107744547
brazil,2019,12,353587.904337499
brazil,2021,1,351392.623207973
brazil,2024,6,348121.448346543
brazil,2006,7,66136.1539691791
brazil,2006,12,85156.1834637376
brazil,2007,11,176213.158088863
brazil,2008,5,196949.001649711
brazil,2008,10,196439.634748587
brazil,2012,4,372485.836935616
brazil,2012,9,376706.499035785
brazil,2012,10,374848.897345296
brazil,2013,12,356214.148612928
brazil,2014,7,374011.268571201
brazil,2016,8,366715.236386977
brazil,2018,4,377122.82878671
brazil,2018,6,376783.113637771
brazil,2019,4,381019.721508944
brazil,2019,5,383343.2605526
brazil,2020,9,352500.566818592
brazil,2021,12,354623.061924661
brazil,2023,9,332595.227481945
brazil,2006,11,82415.4220937738
brazil,2007,6,146398.32554986
brazil,2007,8,160370.567788678
brazil,2008,7,202569.29818945
brazil,2009,7,206348.568886592
brazil,2014,4,363922.794877862
brazil,2015,4,361922.900372545
brazil,2015,6,366124.822549648
brazil,2015,7,365885.965312765
brazil,2015,10,358765.001784194
brazil,2015,12,354174.892918288
brazil,2017,6,374481.685565862
brazil,2018,1,372782.427634718
brazil,2019,7,382636.988265368
brazil,2022,4,337141.240699565
brazil,2022,9,320616.28427123
brazil,2022,11,324207.081763162
brazil,2007,5,135701.448692069
brazil,2007,10,167013.77557568
brazil,2009,1,187108.181603769
brazil,2009,8,214711.668912001
brazil,2009,11,235389.87882162
brazil,2010,6,251769.451039256
brazil,2012,1,353188.598049561
