country,year,month,lsci
canada,2008,5,162.66
canada,2008,8,155.22
canada,2008,11,150.88
canada,2009,2,150.79
canada,2009,5,153.49
canada,2009,8,138.6
canada,2009,11,141.09
canada,2010,2,138.4
canada,2010,5,137.63
canada,2010,8,142.12
canada,2010,11,147.1
canada,2011,2,151.17
canada,2011,5,157.27
canada,2011,8,153.93
canada,2011,11,143.81
canada,2012,2,141.9
canada,2012,5,138.03
canada,2012,8,144.0
canada,2012,11,145.57
canada,2013,2,143.97
canada,2013,5,147.77
canada,2013,8,153.56
canada,2013,11,157.36
canada,2014,2,162.45
canada,2014,5,163.05
canada,2014,8,151.49
canada,2014,11,150.9
canada,2015,2,150.7
canada,2015,5,149.23
canada,2015,8,150.88
canada,2015,11,158.75
canada,2016,2,152.27
canada,2016,5,158.14
canada,2016,8,154.48
canada,2016,11,154.47
canada,2017,2,154.8
canada,2017,5,162.37
canada,2017,8,161.35
canada,2017,11,163.1
canada,2018,2,160.19
canada,2018,5,161.88
canada,2018,8,159.34
canada,2018,11,158.23
canada,2019,2,156.43
canada,2019,5,160.69
canada,2019,8,160.57
canada,2019,11,160.88
canada,2020,2,163.13
canada,2020,5,160.63
canada,2020,8,156.46
canada,2020,11,159.9
canada,2021,2,159.21
canada,2021,5,155.68
canada,2021,8,155.27
canada,2021,11,162.17
canada,2022,2,162.93
canada,2022,5,167.45
canada,2022,8,161.68
canada,2022,11,160.67
canada,2023,1,153.78
canada,2023,2,154.29
canada,2023,3,156.15
canada,2023,4,154.1
canada,2023,5,155.22
canada,2023,6,156.89
canada,2023,7,154.46
canada,2023,8,152.46
canada,2023,9,157.38
canada,2023,10,159.52
canada,2023,11,159.63
canada,2023,12,160.9
canada,2024,1,162.0
canada,2024,2,157.05
canada,2024,3,153.35
canada,2024,4,153.37
canada,2024,5,155.31
canada,2024,6,154.91
canada,2024,7,151.42
canada,2024,8,152.49
canada,2024,9,152.16
canada,2024,10,153.79
canada,2024,11,154.12
canada,2024,12,154.84
canada,2025,1,161.01
canada,2025,2,166.82
canada,2025,3,163.09
canada,2025,4,160.06
canada,2025,5,156.23
canada,2025,6,157.56
canada,2025,7,157.99
canada,2025,8,157.74
canada,2025,9,157.23
canada,2025,10,155.0
canada,2025,11,157.33
canada,2025,12,165.59
canada,2026,1,160.56
canada,2026,2,160.53
canada,2026,3,162.18
china,2006,2,717.71
china,2006,5,736.64
china,2006,8,746.91
china,2006,11,749.39
china,2007,2,763.56
china,2007,5,779.77
china,2007,8,809.9
china,2007,11,824.09
china,2008,2,821.64
china,2008,5,828.8
china,2008,8,842.47
china,2008,11,822.89
china,2009,2,791.11
china,2009,5,795.5
china,2009,8,787.29
china,2009,11,790.2
china,2010,2,786.14
china,2010,5,823.23
china,2010,8,885.67
china,2010,11,886.56
china,2011,2,897.68
china,2011,5,926.62
china,2011,8,910.6
china,2011,11,902.56
china,2012,2,877.54
china,2012,5,885.89
china,2012,8,896.94
china,2012,11,907.8
china,2013,2,886.94
china,2013,5,888.03
china,2013,8,896.63
china,2013,11,891.76
china,2014,2,865.03
china,2014,5,881.3
china,2014,8,892.1
china,2014,11,894.95
china,2015,2,895.47
china,2015,5,911.47
china,2015,8,930.1
china,2015,11,925.12
china,2016,2,924.43
china,2016,5,917.1
china,2016,8,914.36
china,2016,11,900.15
china,2017,2,901.95
china,2017,5,917.79
china,2017,8,945.05
china,2017,11,951.76
china,2018,2,965.66
china,2018,5,995.35
china,2018,8,990.93
china,2018,11,990.99
china,2019,2,985.64
china,2019,5,1004.43
china,2019,8,1004.78
china,2019,11,1004.04
china,2020,2,1002.65
china,2020,5,982.03
china,2020,8,1013.36
china,2020,11,1030.24
china,2021,2,1045.98
china,2021,5,1086.99
china,2021,8,1106.76
china,2021,11,1115.46
china,2022,2,1122.26
china,2022,5,1126.2
china,2022,8,1154.26
china,2022,11,1175.54
china,2023,1,1164.64
china,2023,2,1155.72
china,2023,3,1157.31
china,2023,4,1160.16
china,2023,5,1168.0
china,2023,6,1171.5
china,2023,7,1178.07
china,2023,8,1180.59
china,2023,9,1188.66
china,2023,10,1193.18
china,2023,11,1191.26
china,2023,12,1193.79
china,2024,1,1192.82
china,2024,2,1187.09
china,2024,3,1184.48
china,2024,4,1187.62
china,2024,5,1189.51
china,2024,6,1210.86
china,2024,7,1220.53
china,2024,8,1227.94
china,2024,9,1226.03
china,2024,10,1240.12
china,2024,11,1258.41
china,2024,12,1252.83
china,2025,1,1259.99
china,2025,2,1281.66
china,2025,3,1277.55
china,2025,4,1291.55
china,2025,5,1286.51
china,2025,6,1295.8
china,2025,7,1292.91
china,2025,8,1300.97
china,2025,9,1307.3
china,2025,10,1313.33
china,2025,11,1307.47
china,2025,12,1317.02
china,2026,1,1324.59
china,2026,2,1324.5
china,2026,3,1318.79
france,2006,2,298.78
france,2006,5,296.4
france,2006,8,295.91
france,2006,11,298.74
france,2007,2,304.16
france,2007,5,297.79
france,2007,8,302.8
france,2007,11,309.5
france,2008,2,314.38
france,2008,5,308.68
france,2008,8,293.86
france,2008,11,288.38
france,2009,2,278.22
france,2009,5,283.49
france,2009,8,277.87
france,2009,11,280.85
france,2010,2,278.96
france,2010,5,280.87
france,2010,8,285.47
france,2010,11,285.98
france,2011,2,284.28
france,2011,5,282.01
france,2011,8,274.83
france,2011,11,265.22
france,2012,2,270.77
france,2012,5,265.61
france,2012,8,263.64
france,2012,11,275.76
france,2013,2,285.74
france,2013,5,288.18
france,2013,8,297.29
france,2013,11,294.42
france,2014,2,300.33
france,2014,5,302.35
france,2014,8,299.37
france,2014,11,292.23
france,2015,2,296.57
france,2015,5,300.1
france,2015,8,302.46
france,2015,11,300.3
france,2016,2,298.93
france,2016,5,288.65
france,2016,8,285.1
france,2016,11,280.08
france,2017,2,279.85
france,2017,5,283.37
france,2017,8,291.97
france,2017,11,295.38
france,2018,2,288.44
france,2018,5,288.96
france,2018,8,279.26
france,2018,11,284.8
france,2019,2,286.29
france,2019,5,283.62
france,2019,8,271.99
france,2019,11,295.08
france,2020,2,284.98
france,2020,5,284.81
france,2020,8,272.08
france,2020,11,271.94
france,2021,2,278.79
france,2021,5,271.26
france,2021,8,261.74
france,2021,11,257.66
france,2022,2,261.03
france,2022,5,248.65
france,2022,8,248.75
france,2022,11,251.67
france,2023,1,248.61
france,2023,2,250.83
france,2023,3,254.57
france,2023,4,260.13
france,2023,5,258.05
france,2023,6,259.09
france,2023,7,266.02
france,2023,8,264.37
france,2023,9,271.0
france,2023,10,270.4
france,2023,11,269.67
france,2023,12,266.6
france,2024,1,266.58
france,2024,2,264.9
france,2024,3,264.59
france,2024,4,265.64
france,2024,5,263.41
france,2024,6,265.49
france,2024,7,266.24
france,2024,8,264.91
france,2024,9,265.36
france,2024,10,265.98
france,2024,11,266.57
france,2024,12,263.75
france,2025,1,264.43
france,2025,2,266.17
france,2025,3,267.27
france,2025,4,264.88
france,2025,5,263.36
france,2025,6,265.63
france,2025,7,266.09
france,2025,8,259.24
france,2025,9,258.51
france,2025,10,259.75
france,2025,11,260.75
france,2025,12,262.57
france,2026,1,263.53
france,2026,2,268.22
france,2026,3,269.67
germany,2006,2,464.47
germany,2006,5,480.05
germany,2006,8,481.77
germany,2006,11,474.68
germany,2007,2,469.94
germany,2007,5,463.76
germany,2007,8,471.45
germany,2007,11,479.3
germany,2008,2,488.35
germany,2008,5,479.21
germany,2008,8,477.37
germany,2008,11,482.48
germany,2009,2,470.65
germany,2009,5,446.27
germany,2009,8,428.72
germany,2009,11,419.48
germany,2010,2,415.6
germany,2010,5,429.13
germany,2010,8,431.02
germany,2010,11,412.35
germany,2011,2,415.98
germany,2011,5,438.72
germany,2011,8,426.68
germany,2011,11,418.47
germany,2012,2,411.33
germany,2012,5,413.7
germany,2012,8,421.29
germany,2012,11,401.21
germany,2013,2,399.3
germany,2013,5,408.69
germany,2013,8,409.65
germany,2013,11,406.59
germany,2014,2,399.35
germany,2014,5,398.27
germany,2014,8,397.27
germany,2014,11,386.35
germany,2015,2,392.04
germany,2015,5,398.61
germany,2015,8,407.15
germany,2015,11,407.77
germany,2016,2,405.59
germany,2016,5,397.64
germany,2016,8,393.12
germany,2016,11,387.49
germany,2017,2,381.04
germany,2017,5,374.29
germany,2017,8,367.32
germany,2017,11,371.43
germany,2018,2,374.1
germany,2018,5,379.16
germany,2018,8,366.52
germany,2018,11,357.13
germany,2019,2,357.05
germany,2019,5,354.36
germany,2019,8,353.07
germany,2019,11,354.78
germany,2020,2,345.98
germany,2020,5,332.56
germany,2020,8,332.94
germany,2020,11,332.44
germany,2021,2,337.96
germany,2021,5,337.72
germany,2021,8,341.86
germany,2021,11,346.89
germany,2022,2,348.4
germany,2022,5,341.88
germany,2022,8,335.47
germany,2022,11,327.24
germany,2023,1,324.18
germany,2023,2,316.23
germany,2023,3,317.82
germany,2023,4,316.23
germany,2023,5,315.7
germany,2023,6,317.09
germany,2023,7,314.75
germany,2023,8,317.8
germany,2023,9,319.93
germany,2023,10,317.32
germany,2023,11,317.76
germany,2023,12,313.89
germany,2024,1,312.29
germany,2024,2,305.06
germany,2024,3,304.37
germany,2024,4,304.08
germany,2024,5,305.18
germany,2024,6,305.21
germany,2024,7,306.38
germany,2024,8,301.71
germany,2024,9,303.91
germany,2024,10,307.7
germany,2024,11,306.11
germany,2024,12,305.65
germany,2025,1,308.41
germany,2025,2,316.33
germany,2025,3,317.46
germany,2025,4,321.88
germany,2025,5,321.27
germany,2025,6,321.42
germany,2025,7,322.89
germany,2025,8,324.8
germany,2025,9,322.08
germany,2025,10,319.51
germany,2025,11,317.73
germany,2025,12,320.13
germany,2026,1,318.78
germany,2026,2,321.49
germany,2026,3,321.9
india,2006,2,212.12
india,2006,5,216.67
india,2006,8,213.63
india,2006,11,211.67
india,2007,2,224.36
india,2007,5,236.88
india,2007,8,245.2
india,2007,11,244.83
india,2008,2,245.35
india,2008,5,252.56
india,2008,8,265.79
india,2008,11,262.42
india,2009,2,255.56
india,2009,5,257.53
india,2009,8,245.96
india,2009,11,249.61
india,2010,2,246.23
india,2010,5,249.32
india,2010,8,245.44
india,2010,11,242.73
india,2011,2,250.51
india,2011,5,263.54
india,2011,8,265.61
india,2011,11,260.73
india,2012,2,249.87
india,2012,5,233.94
india,2012,8,231.87
india,2012,11,235.46
india,2013,2,235.87
india,2013,5,232.49
india,2013,8,231.13
india,2013,11,233.1
india,2014,2,232.16
india,2014,5,230.61
india,2014,8,232.3
india,2014,11,239.51
india,2015,2,239.66
india,2015,5,245.11
india,2015,8,244.33
india,2015,11,252.2
india,2016,2,249.9
india,2016,5,268.5
india,2016,8,273.11
india,2016,11,259.37
india,2017,2,254.64
india,2017,5,251.28
india,2017,8,256.47
india,2017,11,253.3
india,2018,2,257.57
india,2018,5,255.86
india,2018,8,257.83
india,2018,11,255.44
india,2019,2,242.56
india,2019,5,248.32
india,2019,8,246.11
india,2019,11,245.45
india,2020,2,248.5
india,2020,5,246.25
india,2020,8,252.66
india,2020,11,256.84
india,2021,2,267.93
india,2021,5,269.9
india,2021,8,271.63
india,2021,11,272.39
india,2022,2,289.37
india,2022,5,288.28
india,2022,8,296.37
india,2022,11,306.99
india,2023,1,314.68
india,2023,2,316.23
india,2023,3,323.12
india,2023,4,321.9
india,2023,5,328.07
india,2023,6,330.97
india,2023,7,331.29
india,2023,8,339.12
india,2023,9,341.12
india,2023,10,334.47
india,2023,11,339.97
india,2023,12,339.17
india,2024,1,339.75
india,2024,2,332.21
india,2024,3,335.42
india,2024,4,334.78
india,2024,5,341.52
india,2024,6,341.24
india,2024,7,342.42
india,2024,8,343.18
india,2024,9,351.92
india,2024,10,358.5
india,2024,11,356.74
india,2024,12,360.39
india,2025,1,363.84
india,2025,2,394.83
india,2025,3,397.19
india,2025,4,403.45
india,2025,5,403.45
india,2025,6,402.64
india,2025,7,392.58
india,2025,8,397.3
india,2025,9,404.15
india,2025,10,401.8
india,2025,11,397.83
india,2025,12,397.74
india,2026,1,398.45
india,2026,2,398.35
india,2026,3,395.79
italy,2006,2,326.3
italy,2006,5,328.43
italy,2006,8,335.28
italy,2006,11,343.56
italy,2007,2,339.86
italy,2007,5,329.23
italy,2007,8,332.12
italy,2007,11,332.41
italy,2008,2,323.12
italy,2008,5,321.96
italy,2008,8,327.33
italy,2008,11,330.47
italy,2009,2,337.77
italy,2009,5,338.64
italy,2009,8,306.0
italy,2009,11,295.48
italy,2010,2,293.61
italy,2010,5,288.47
italy,2010,8,294.11
italy,2010,11,304.83
italy,2011,2,305.11
italy,2011,5,301.99
italy,2011,8,302.47
italy,2011,11,294.35
italy,2012,2,292.03
italy,2012,5,289.7
italy,2012,8,284.82
italy,2012,11,288.56
italy,2013,2,276.52
italy,2013,5,282.07
italy,2013,8,285.76
italy,2013,11,283.8
italy,2014,2,287.89
italy,2014,5,289.81
italy,2014,8,284.05
italy,2014,11,282.62
italy,2015,2,294.52
italy,2015,5,287.03
italy,2015,8,292.16
italy,2015,11,285.47
italy,2016,2,291.63
italy,2016,5,287.31
italy,2016,8,290.71
italy,2016,11,287.91
italy,2017,2,292.05
italy,2017,5,289.66
italy,2017,8,284.7
italy,2017,11,288.85
italy,2018,2,289.12
italy,2018,5,280.46
italy,2018,8,285.66
italy,2018,11,285.0
italy,2019,2,282.89
italy,2019,5,289.23
italy,2019,8,282.24
italy,2019,11,277.76
italy,2020,2,268.66
italy,2020,5,275.62
italy,2020,8,284.12
italy,2020,11,274.9
italy,2021,2,262.04
italy,2021,5,265.0
italy,2021,8,275.36
italy,2021,11,276.27
italy,2022,2,274.14
italy,2022,5,270.22
italy,2022,8,271.99
italy,2022,11,276.37
italy,2023,1,274.46
italy,2023,2,277.72
italy,2023,3,283.67
italy,2023,4,287.35
italy,2023,5,286.13
italy,2023,6,283.05
italy,2023,7,288.07
italy,2023,8,291.38
italy,2023,9,296.9
italy,2023,10,294.54
italy,2023,11,294.5
italy,2023,12,294.74
italy,2024,1,294.92
italy,2024,2,282.99
italy,2024,3,284.94
italy,2024,4,288.21
italy,2024,5,286.62
italy,2024,6,287.49
italy,2024,7,283.88
italy,2024,8,283.66
italy,2024,9,279.55
italy,2024,10,281.08
italy,2024,11,282.32
italy,2024,12,283.24
italy,2025,1,286.99
italy,2025,2,287.54
italy,2025,3,286.41
italy,2025,4,283.88
italy,2025,5,282.79
italy,2025,6,283.9
italy,2025,7,286.56
italy,2025,8,290.78
italy,2025,9,292.29
italy,2025,10,293.74
italy,2025,11,291.02
italy,2025,12,289.62
italy,2026,1,287.67
italy,2026,2,289.15
italy,2026,3,287.99
japan,2006,2,499.27
japan,2006,5,524.54
japan,2006,8,527.52
japan,2006,11,527.05
japan,2007,2,523.52
japan,2007,5,513.39
japan,2007,8,511.05
japan,2007,11,511.49
japan,2008,2,504.81
japan,2008,5,493.93
japan,2008,8,493.78
japan,2008,11,491.27
japan,2009,2,473.92
