country,month,year,events
france,11,2021,6
france,12,2021,16
france,1,2022,4
france,2,2022,7
france,3,2022,19
france,4,2022,17
france,5,2022,11
france,6,2022,7
france,7,2022,37
france,8,2022,15
france,9,2022,6
france,10,2022,9
france,11,2022,3
france,12,2022,8
france,1,2023,2
france,2,2023,1
france,3,2023,10
france,4,2023,5
france,5,2023,4
france,6,2023,12
france,7,2023,20
france,9,2023,3
france,10,2023,2
france,11,2023,6
france,12,2023,6
france,1,2024,3
france,2,2024,2
france,3,2024,6
france,4,2024,4
france,5,2024,2
france,6,2024,13
france,7,2024,15
france,8,2024,4
france,9,2024,6
france,10,2024,4
france,11,2024,1
france,12,2024,2
france,1,2025,5
france,2,2025,7
france,3,2025,12
france,4,2025,11
france,5,2025,7
france,6,2025,4
france,7,2025,19
france,8,2025,11
france,9,2025,10
france,10,2025,3
france,11,2025,3
france,12,2025,3
france,1,2026,14
france,2,2026,7
france,3,2026,2
germany,1,2020,10
germany,2,2020,12
germany,3,2020,6
germany,4,2020,6
germany,5,2020,10
germany,6,2020,14
germany,7,2020,10
germany,8,2020,12
germany,9,2020,12
germany,10,2020,8
germany,11,2020,16
germany,12,2020,2
germany,1,2021,3
germany,2,2021,2
germany,3,2021,10
germany,4,2021,4
germany,5,2021,6
germany,6,2021,7
germany,7,2021,10
germany,8,2021,5
germany,9,2021,4
germany,10,2021,4
germany,11,2021,0
germany,12,2021,2
germany,1,2022,2
germany,2,2022,2
germany,5,2022,3
germany,6,2022,2
germany,7,2022,1
germany,8,2022,2
germany,9,2022,1
germany,10,2022,5
germany,1,2023,6
germany,2,2023,2
germany,3,2023,4
germany,4,2023,2
germany,5,2023,4
germany,6,2023,2
germany,7,2023,8
germany,8,2023,10
germany,9,2023,4
germany,10,2023,4
germany,11,2023,4
germany,12,2023,2
germany,1,2024,4
germany,2,2024,7
germany,3,2024,5
germany,4,2024,3
germany,5,2024,12
germany,6,2024,5
germany,7,2024,7
germany,8,2024,2
germany,9,2024,6
germany,10,2024,4
germany,11,2024,4
germany,12,2024,7
germany,1,2025,9
germany,2,2025,5
germany,3,2025,5
germany,4,2025,7
germany,5,2025,16
germany,6,2025,3
germany,7,2025,4
germany,8,2025,9
germany,9,2025,3
germany,10,2025,4
germany,11,2025,5
germany,12,2025,3
germany,1,2026,6
germany,2,2026,5
india,1,2016,153
india,2,2016,179
india,3,2016,129
india,4,2016,270
india,5,2016,223
india,6,2016,186
india,7,2016,247
india,8,2016,296
india,9,2016,313
india,10,2016,302
india,11,2016,233
india,12,2016,181
india,1,2017,201
india,2,2017,284
india,3,2017,245
india,4,2017,249
india,5,2017,275
india,6,2017,270
india,7,2017,217
india,8,2017,236
india,9,2017,197
india,10,2017,240
india,11,2017,150
india,12,2017,203
india,1,2018,311
india,2,2018,309
india,3,2018,304
india,4,2018,346
india,5,2018,421
india,6,2018,312
india,7,2018,263
india,8,2018,392
india,9,2018,406
india,10,2018,391
india,11,2018,393
india,12,2018,448
india,1,2019,363
india,2,2019,345
india,3,2019,459
india,4,2019,843
india,5,2019,811
india,6,2019,502
india,7,2019,440
india,8,2019,461
india,9,2019,341
india,10,2019,374
india,11,2019,221
india,12,2019,204
india,1,2020,198
india,2,2020,211
india,3,2020,282
india,4,2020,442
india,5,2020,313
india,6,2020,325
india,7,2020,242
india,8,2020,274
india,9,2020,260
india,10,2020,250
india,11,2020,250
india,12,2020,219
india,1,2021,188
india,2,2021,146
india,3,2021,185
india,4,2021,345
india,5,2021,281
india,6,2021,159
india,7,2021,153
india,8,2021,150
india,9,2021,112
india,10,2021,132
india,11,2021,137
india,12,2021,135
india,1,2022,178
india,2,2022,305
india,3,2022,288
india,4,2022,238
india,5,2022,188
india,6,2022,158
india,7,2022,162
india,8,2022,184
india,9,2022,205
india,10,2022,159
india,11,2022,127
india,12,2022,128
india,1,2023,151
india,2,2023,205
india,3,2023,205
india,4,2023,167
india,5,2023,333
india,6,2023,396
india,7,2023,483
india,8,2023,303
india,9,2023,303
india,10,2023,233
india,11,2023,321
india,12,2023,260
india,1,2024,286
india,2,2024,277
india,3,2024,269
india,4,2024,363
india,5,2024,440
india,6,2024,366
india,7,2024,298
india,8,2024,242
india,9,2024,269
india,10,2024,302
india,11,2024,282
india,12,2024,214
india,1,2025,199
india,2,2025,191
india,3,2025,257
india,4,2025,302
india,5,2025,409
india,6,2025,237
india,7,2025,272
india,8,2025,227
india,9,2025,224
india,10,2025,207
india,11,2025,161
india,12,2025,266
india,1,2026,215
india,2,2026,213
india,3,2026,92
italy,1,2020,13
italy,2,2020,20
italy,3,2020,6
italy,4,2020,13
italy,5,2020,9
italy,6,2020,7
italy,7,2020,14
italy,8,2020,10
italy,9,2020,13
italy,10,2020,7
italy,11,2020,4
italy,12,2020,6
italy,1,2021,8
italy,2,2021,5
italy,3,2021,6
italy,4,2021,7
italy,5,2021,11
italy,6,2021,16
italy,7,2021,8
italy,8,2021,8
italy,9,2021,5
italy,10,2021,10
italy,11,2021,7
italy,12,2021,4
italy,1,2022,2
italy,2,2022,6
italy,3,2022,3
italy,4,2022,4
italy,5,2022,4
italy,6,2022,10
italy,7,2022,4
italy,8,2022,3
italy,9,2022,4
italy,10,2022,4
italy,11,2022,2
italy,12,2022,8
italy,1,2023,5
italy,2,2023,8
italy,3,2023,2
italy,4,2023,5
italy,5,2023,5
italy,6,2023,6
italy,7,2023,6
italy,8,2023,4
italy,9,2023,2
italy,10,2023,5
italy,11,2023,1
italy,12,2023,1
italy,1,2024,7
italy,2,2024,3
italy,3,2024,2
italy,4,2024,2
italy,5,2024,8
italy,6,2024,6
italy,7,2024,21
italy,8,2024,20
italy,9,2024,6
italy,10,2024,4
italy,11,2024,5
italy,12,2024,2
italy,1,2025,4
italy,2,2025,4
italy,3,2025,2
italy,4,2025,8
italy,5,2025,5
italy,6,2025,5
italy,7,2025,6
italy,8,2025,3
italy,9,2025,4
italy,10,2025,5
italy,11,2025,4
italy,12,2025,3
italy,2,2026,5
italy,3,2026,1
japan,1,2018,0
japan,2,2018,0
japan,3,2018,0
japan,4,2018,0
japan,5,2018,0
japan,6,2018,0
japan,7,2018,0
japan,8,2018,0
japan,9,2018,0
japan,10,2018,0
japan,11,2018,0
japan,12,2018,0
japan,1,2019,1
japan,2,2019,0
japan,3,2019,0
japan,4,2019,0
japan,5,2019,0
japan,6,2019,0
japan,7,2019,0
japan,8,2019,0
japan,9,2019,0
japan,10,2019,0
japan,11,2019,0
japan,12,2019,0
japan,1,2020,0
japan,2,2020,0
japan,3,2020,0
japan,4,2020,0
japan,5,2020,0
japan,6,2020,0
japan,7,2020,0
japan,8,2020,0
japan,9,2020,0
japan,10,2020,0
japan,11,2020,0
japan,12,2020,0
japan,1,2021,0
japan,2,2021,0
japan,3,2021,0
japan,4,2021,0
japan,5,2021,0
japan,6,2021,0
japan,7,2021,0
japan,8,2021,0
japan,9,2021,0
japan,10,2021,0
japan,11,2021,0
japan,12,2021,0
japan,7,2022,1
japan,4,2023,1
japan,8,2023,1
mexico,1,2018,646
mexico,2,2018,600
mexico,3,2018,630
mexico,4,2018,574
mexico,5,2018,669
mexico,6,2018,607
mexico,7,2018,702
mexico,8,2018,734
mexico,9,2018,724
mexico,10,2018,840
mexico,11,2018,668
mexico,12,2018,711
mexico,1,2019,758
mexico,2,2019,827
mexico,3,2019,579
mexico,4,2019,643
mexico,5,2019,596
mexico,6,2019,634
mexico,7,2019,635
mexico,8,2019,657
mexico,9,2019,640
mexico,10,2019,678
mexico,11,2019,641
mexico,12,2019,523
mexico,1,2020,629
mexico,2,2020,611
mexico,3,2020,602
mexico,4,2020,621
mexico,5,2020,729
mexico,6,2020,650
mexico,7,2020,631
mexico,8,2020,597
mexico,9,2020,544
mexico,10,2020,487
mexico,11,2020,602
mexico,12,2020,560
mexico,1,2021,652
mexico,2,2021,583
mexico,3,2021,660
mexico,4,2021,655
mexico,5,2021,680
mexico,6,2021,707
mexico,7,2021,624
mexico,8,2021,531
mexico,9,2021,530
mexico,10,2021,597
mexico,11,2021,576
mexico,12,2021,573
mexico,1,2022,615
mexico,2,2022,547
mexico,3,2022,573
mexico,4,2022,560
mexico,5,2022,664
mexico,6,2022,640
mexico,7,2022,570
mexico,8,2022,624
mexico,9,2022,548
mexico,10,2022,651
mexico,11,2022,582
mexico,12,2022,557
mexico,1,2023,624
mexico,2,2023,509
mexico,3,2023,551
mexico,4,2023,554
mexico,5,2023,621
mexico,6,2023,533
mexico,7,2023,633
mexico,8,2023,641
mexico,9,2023,552
mexico,10,2023,536
mexico,11,2023,473
mexico,12,2023,474
mexico,1,2024,502
mexico,2,2024,535
mexico,3,2024,543
mexico,4,2024,628
mexico,5,2024,648
mexico,6,2024,702
mexico,7,2024,704
mexico,8,2024,631
mexico,9,2024,643
mexico,10,2024,782
mexico,11,2024,670
mexico,12,2024,600
mexico,1,2025,720
mexico,2,2025,694
mexico,3,2025,664
mexico,4,2025,728
mexico,5,2025,680
mexico,6,2025,767
mexico,7,2025,722
mexico,8,2025,666
mexico,9,2025,621
mexico,10,2025,647
mexico,11,2025,575
mexico,12,2025,534
mexico,1,2026,611
mexico,2,2026,581
mexico,3,2026,244
russia,1,2018,22
russia,2,2018,21
russia,3,2018,32
russia,4,2018,23
russia,5,2018,33
russia,6,2018,14
russia,7,2018,13
russia,8,2018,23
russia,9,2018,28
russia,10,2018,21
russia,11,2018,21
russia,12,2018,12
russia,1,2019,14
russia,2,2019,8
russia,3,2019,9
russia,4,2019,6
russia,5,2019,3
russia,6,2019,3
russia,7,2019,8
russia,8,2019,6
russia,9,2019,3
russia,10,2019,2
russia,11,2019,2
russia,12,2019,6
russia,1,2020,1
russia,2,2020,8
russia,3,2020,4
russia,4,2020,8
russia,5,2020,3
russia,6,2020,3
russia,7,2020,9
russia,8,2020,13
russia,9,2020,5
russia,10,2020,13
russia,11,2020,2
russia,12,2020,6
russia,1,2021,11
russia,2,2021,11
russia,3,2021,10
russia,4,2021,13
russia,5,2021,9
russia,6,2021,10
russia,7,2021,19
russia,8,2021,18
russia,9,2021,19
russia,10,2021,18
russia,11,2021,17
russia,12,2021,6
russia,1,2022,12
russia,2,2022,14
russia,3,2022,20
russia,4,2022,32
russia,5,2022,37
russia,6,2022,18
russia,7,2022,49
russia,8,2022,37
russia,9,2022,45
russia,10,2022,69
russia,11,2022,67
russia,12,2022,49
russia,1,2023,47
russia,2,2023,75
russia,3,2023,80
russia,4,2023,84
russia,5,2023,257
russia,6,2023,321
russia,7,2023,333
russia,8,2023,333
russia,9,2023,507
russia,10,2023,378
russia,11,2023,269
russia,12,2023,379
russia,1,2024,448
russia,2,2024,376
russia,3,2024,732
russia,4,2024,577
russia,5,2024,1138
russia,6,2024,1265
russia,7,2024,1423
russia,8,2024,1587
russia,9,2024,1401
russia,10,2024,1598
russia,11,2024,1312
russia,12,2024,1251
russia,1,2025,1600
russia,2,2025,1641
russia,3,2025,1499
russia,4,2025,1355
russia,5,2025,1332
russia,6,2025,1283
russia,7,2025,1489
russia,8,2025,1595
russia,9,2025,1492
russia,10,2025,1413
russia,11,2025,1059
russia,12,2025,969
russia,1,2026,1054
russia,2,2026,1383
russia,3,2026,852
south_africa,1,2006,1
south_africa,2,2006,2
south_africa,3,2006,0
south_africa,4,2006,2
south_africa,5,2006,1
south_africa,6,2006,1
south_africa,7,2006,1
south_africa,8,2006,2
south_africa,9,2006,2
south_africa,10,2006,0
south_africa,11,2006,0
south_africa,12,2006,1
south_africa,1,2007,2
south_africa,2,2007,5
south_africa,3,2007,5
south_africa,4,2007,2
south_africa,5,2007,1
south_africa,6,2007,4
south_africa,7,2007,1
south_africa,8,2007,7
south_africa,9,2007,1
south_africa,10,2007,3
south_africa,11,2007,1
south_africa,12,2007,0
south_africa,1,2008,5
south_africa,2,2008,2
south_africa,3,2008,4
south_africa,4,2008,2
south_africa,5,2008,11
south_africa,6,2008,3
south_africa,7,2008,3
south_africa,8,2008,1
south_africa,9,2008,3
south_africa,10,2008,2
south_africa,11,2008,4
south_africa,12,2008,3
south_africa,1,2009,5
south_africa,2,2009,9
south_africa,3,2009,4
south_africa,4,2009,1
south_africa,5,2009,2
south_africa,6,2009,6
south_africa,7,2009,3
south_africa,8,2009,0
south_africa,9,2009,6
south_africa,10,2009,6
south_africa,11,2009,4
south_africa,12,2009,4
south_africa,1,2010,3
south_africa,2,2010,3
south_africa,3,2010,3
south_africa,4,2010,2
south_africa,5,2010,4
south_africa,6,2010,1
south_africa,7,2010,8
south_africa,8,2010,5
south_africa,9,2010,2
south_africa,10,2010,4
south_africa,11,2010,3
south_africa,12,2010,5
south_africa,1,2011,1
south_africa,2,2011,4
south_africa,3,2011,2
south_africa,4,2011,4
south_africa,5,2011,4
south_africa,6,2011,2
south_africa,7,2011,7
south_africa,8,2011,7
south_africa,9,2011,4
south_africa,10,2011,11
south_africa,11,2011,3
south_africa,12,2011,9
south_africa,1,2012,23
south_africa,2,2012,25
south_africa,3,2012,23
south_africa,4,2012,16
south_africa,5,2012,21
south_africa,6,2012,27
south_africa,7,2012,28
south_africa,8,2012,32
south_africa,9,2012,23
south_africa,10,2012,21
south_africa,11,2012,30
south_africa,12,2012,10
south_africa,1,2013,21
south_africa,2,2013,20
south_africa,3,2013,31
south_africa,4,2013,19
south_africa,5,2013,33
south_africa,6,2013,7
south_africa,7,2013,6
south_africa,8,2013,7
south_africa,9,2013,18
south_africa,10,2013,10
south_africa,11,2013,14
south_africa,12,2013,5
south_africa,1,2014,8
south_africa,2,2014,15
south_africa,3,2014,11
south_africa,4,2014,21
south_africa,5,2014,35
south_africa,6,2014,14
south_africa,7,2014,21
south_africa,8,2014,24
south_africa,9,2014,26
south_africa,10,2014,18
south_africa,11,2014,19
south_africa,12,2014,17
south_africa,1,2015,38
south_africa,2,2015,23
south_africa,3,2015,25
south_africa,4,2015,77
south_africa,5,2015,25
south_africa,6,2015,25
south_africa,7,2015,30
south_africa,8,2015,22
south_africa,9,2015,25
south_africa,10,2015,31
south_africa,11,2015,20
south_africa,12,2015,19
south_africa,1,2016,22
south_africa,2,2016,20
south_africa,3,2016,24
south_africa,4,2016,21
south_africa,5,2016,20
south_africa,6,2016,27
south_africa,7,2016,13
south_africa,8,2016,15
south_africa,9,2016,10
south_africa,10,2016,8
south_africa,11,2016,13
south_africa,12,2016,15
south_africa,1,2017,9
south_africa,2,2017,17
south_africa,3,2017,13
south_africa,4,2017,11
south_africa,5,2017,14
south_africa,6,2017,10
south_africa,7,2017,14
south_africa,8,2017,15
south_africa,9,2017,12
south_africa,10,2017,14
south_africa,11,2017,14
south_africa,12,2017,5
south_africa,1,2018,20
south_africa,2,2018,5
south_africa,3,2018,12
south_africa,4,2018,13
south_africa,5,2018,16
south_africa,6,2018,11
south_africa,7,2018,21
south_africa,8,2018,21
south_africa,9,2018,14
south_africa,10,2018,16
south_africa,11,2018,6
south_africa,12,2018,8
south_africa,1,2019,22
south_africa,2,2019,14
south_africa,3,2019,17
south_africa,4,2019,12
south_africa,5,2019,13
south_africa,6,2019,14
south_africa,7,2019,24
south_africa,8,2019,29
south_africa,9,2019,24
south_africa,10,2019,14
south_africa,11,2019,18
south_africa,12,2019,15
south_africa,1,2020,16
south_africa,2,2020,19
south_africa,3,2020,25
south_africa,4,2020,30
south_africa,5,2020,22
south_africa,6,2020,20
south_africa,7,2020,24
south_africa,8,2020,21
south_africa,9,2020,22
south_africa,10,2020,27
south_africa,11,2020,23
south_africa,12,2020,17
south_africa,1,2021,29
south_africa,2,2021,32
south_africa,3,2021,31
south_africa,4,2021,32
south_africa,5,2021,27
south_africa,6,2021,29
south_africa,7,2021,32
south_africa,8,2021,27
south_africa,9,2021,22
south_africa,10,2021,39
south_africa,11,2021,38
south_africa,12,2021,20
south_africa,1,2022,38
south_africa,2,2022,44
south_africa,3,2022,31
south_africa,4,2022,34
south_africa,5,2022,30
south_africa,6,2022,47
south_africa,7,2022,49
south_africa,8,2022,31
south_africa,9,2022,49
south_africa,10,2022,29
south_africa,11,2022,30
south_africa,12,2022,20
south_africa,1,2023,39
south_africa,2,2023,41
south_africa,3,2023,25
south_africa,4,2023,34
south_africa,5,2023,24
south_africa,6,2023,32
south_africa,7,2023,38
south_africa,8,2023,40
south_africa,9,2023,36
south_africa,10,2023,30
south_africa,11,2023,40
south_africa,12,2023,26
south_africa,1,2024,42
south_africa,2,2024,48
south_africa,3,2024,34
south_africa,4,2024,34
south_africa,5,2024,25
south_africa,6,2024,35
south_africa,7,2024,41
south_africa,8,2024,41
south_africa,9,2024,35
south_africa,10,2024,34
south_africa,11,2024,30
south_africa,12,2024,21
south_africa,1,2025,20
south_africa,2,2025,25
south_africa,3,2025,13
south_africa,4,2025,13
south_africa,5,2025,23
south_africa,6,2025,29
south_africa,7,2025,11
south_africa,8,2025,16
south_africa,9,2025,12
south_africa,10,2025,11
south_africa,11,2025,13
south_africa,12,2025,12
south_africa,1,2026,14
south_africa,2,2026,23
south_africa,3,2026,7
south_korea,1,2018,0
south_korea,2,2018,0
south_korea,3,2018,0
south_korea,4,2018,0
south_korea,5,2018,0
south_korea,6,2018,0
south_korea,7,2018,0
south_korea,8,2018,0
south_korea,9,2018,1
south_korea,10,2018,1
south_korea,11,2018,0
south_korea,12,2018,0
south_korea,1,2019,1
south_korea,2,2019,1
south_korea,3,2019,0
south_korea,4,2019,1
south_korea,5,2019,0
south_korea,6,2019,1
south_korea,7,2019,1
south_korea,8,2019,1
south_korea,9,2019,1
south_korea,10,2019,0
south_korea,11,2019,0
south_korea,12,2019,2
south_korea,1,2020,1
south_korea,2,2020,3
south_korea,3,2020,1
south_korea,4,2020,5
south_korea,5,2020,2
south_korea,6,2020,0
south_korea,7,2020,0
south_korea,8,2020,0
south_korea,9,2020,0
south_korea,10,2020,0
south_korea,11,2020,0
south_korea,12,2020,0
south_korea,1,2021,1
south_korea,2,2021,0
south_korea,3,2021,1
south_korea,4,2021,0
south_korea,5,2021,0
south_korea,6,2021,0
south_korea,7,2021,0
south_korea,8,2021,0
south_korea,9,2021,0
south_korea,10,2021,0
south_korea,11,2021,1
south_korea,12,2021,0
south_korea,2,2022,1
south_korea,4,2022,1
south_korea,6,2022,2
south_korea,1,2024,2
south_korea,4,2024,1
south_korea,9,2024,3
south_korea,1,2025,2
south_korea,3,2025,1
united_kingdom,1,2020,8
united_kingdom,2,2020,11
united_kingdom,3,2020,9
united_kingdom,4,2020,2
united_kingdom,5,2020,8
united_kingdom,6,2020,10
united_kingdom,7,2020,12
united_kingdom,8,2020,11
united_kingdom,9,2020,1
united_kingdom,10,2020,10
united_kingdom,11,2020,1
united_kingdom,12,2020,3
united_kingdom,1,2021,3
united_kingdom,2,2021,5
united_kingdom,3,2021,6
united_kingdom,4,2021,17
united_kingdom,5,2021,10
united_kingdom,6,2021,6
united_kingdom,7,2021,8
united_kingdom,8,2021,9
united_kingdom,9,2021,3
united_kingdom,10,2021,2
united_kingdom,11,2021,9
united_kingdom,12,2021,2
united_kingdom,3,2022,5
united_kingdom,4,2022,8
united_kingdom,6,2022,3
united_kingdom,7,2022,6
united_kingdom,8,2022,1
united_kingdom,9,2022,5
united_kingdom,10,2022,1
united_kingdom,11,2022,3
united_kingdom,1,2023,1
united_kingdom,2,2023,2
united_kingdom,3,2023,2
united_kingdom,4,2023,2
united_kingdom,5,2023,2
united_kingdom,6,2023,2
united_kingdom,7,2023,3
united_kingdom,8,2023,1
united_kingdom,9,2023,3
united_kingdom,10,2023,2
united_kingdom,12,2023,1
united_kingdom,2,2024,2
united_kingdom,3,2024,1
united_kingdom,5,2024,3
united_kingdom,6,2024,3
united_kingdom,7,2024,3
united_kingdom,8,2024,8
united_kingdom,9,2024,1
united_kingdom,10,2024,1
united_kingdom,12,2024,2
united_kingdom,2,2025,3
united_kingdom,5,2025,2
united_kingdom,6,2025,4
united_kingdom,7,2025,1
united_kingdom,8,2025,1
united_kingdom,10,2025,2
united_kingdom,11,2025,1
united_kingdom,12,2025,2
united_kingdom,1,2026,2
united_kingdom,3,2026,1
united_states,1,2020,3
united_states,2,2020,14
united_states,3,2020,14
united_states,4,2020,9
united_states,5,2020,31
united_states,6,2020,60
united_states,7,2020,32
united_states,8,2020,23
united_states,9,2020,29
united_states,10,2020,28
united_states,11,2020,16
united_states,12,2020,28
united_states,1,2021,18
united_states,2,2021,3
united_states,3,2021,15
united_states,4,2021,21
united_states,5,2021,20
united_states,6,2021,14
united_states,7,2021,9
united_states,8,2021,14
united_states,9,2021,12
united_states,10,2021,11
united_states,11,2021,11
united_states,12,2021,5
united_states,1,2022,12
united_states,2,2022,17
united_states,3,2022,11
united_states,4,2022,21
united_states,5,2022,19
united_states,6,2022,20
united_states,7,2022,28
united_states,8,2022,16
united_states,9,2022,13
united_states,10,2022,12
united_states,11,2022,11
united_states,12,2022,15
united_states,1,2023,19
united_states,2,2023,12
united_states,3,2023,9
united_states,4,2023,12
united_states,5,2023,12
united_states,6,2023,14
united_states,7,2023,15
united_states,8,2023,12
united_states,9,2023,10
united_states,10,2023,17
united_states,11,2023,16
united_states,12,2023,9
united_states,1,2024,5
united_states,2,2024,14
united_states,3,2024,7
united_states,4,2024,14
united_states,5,2024,8
united_states,6,2024,17
united_states,7,2024,16
united_states,8,2024,15
united_states,9,2024,10
united_states,10,2024,9
united_states,11,2024,8
united_states,12,2024,9
united_states,1,2025,5
united_states,2,2025,5
united_states,3,2025,8
united_states,4,2025,7
united_states,5,2025,9
united_states,6,2025,21
united_states,7,2025,17
united_states,8,2025,6
united_states,9,2025,15
united_states,10,2025,5
united_states,11,2025,6
united_states,12,2025,7
united_states,1,2026,12
united_states,2,2026,8
united_states,3,2026,9
