country,year,month,gpr_index
canada,2006,11,0.1882495880126953
china,2006,11,0.42811599373817444
france,2006,11,0.3613177537918091
germany,2006,11,0.20039471983909607
india,2006,11,0.221648707985878
italy,2006,11,0.11841505765914917
japan,2006,11,0.24290268123149872
mexico,2006,11,0.08805222064256668
south_korea,2006,11,0.4038257300853729
russia,2006,11,0.4098982810974121
south_africa,2006,11,0.045544255524873734
turkiye,2006,11,0.09108851104974747
united_kingdom,2006,11,1.0080461502075195
united_states,2006,11,1.9614392518997192
australia,2006,12,0.07151680439710617
brazil,2006,12,0.03900916874408722
canada,2006,12,0.14628437161445618
china,2006,12,0.41284701228141785
france,2006,12,0.3900916576385498
germany,2006,12,0.24380730092525482
india,2006,12,0.24380730092525482
italy,2006,12,0.10727521032094955
japan,2006,12,0.2308042347431183
mexico,2006,12,0.09102138876914978
south_korea,2006,12,0.3413302004337311
russia,2006,12,0.5396268367767334
south_africa,2006,12,0.04551069438457489
turkiye,2006,12,0.11377673596143723
united_kingdom,2006,12,1.0012352466583252
united_states,2006,12,2.0609843730926514
australia,2007,1,0.06485484540462494
brazil,2007,1,0.03397158905863762
canada,2007,1,0.1575046330690384
china,2007,1,0.3582458198070526
france,2007,1,0.27486103773117065
germany,2007,1,0.24088944494724274
india,2007,1,0.14823965728282928
italy,2007,1,0.07411982864141464
japan,2007,1,0.1698579341173172
mexico,2007,1,0.13279801607131958
south_korea,2007,1,0.25941938161849976
russia,2007,1,0.3304508924484253
south_africa,2007,1,0.06485484540462494
turkiye,2007,1,0.07103150337934494
united_kingdom,2007,1,0.917232871055603
united_states,2007,1,2.368746042251587
australia,2007,2,0.08580858260393143
brazil,2007,2,0.0330033004283905
canada,2007,2,0.22772277891635895
china,2007,2,0.5049505233764648
france,2007,2,0.3234323561191559
germany,2007,2,0.42574256658554077
india,2007,2,0.2112211287021637
italy,2007,2,0.10231023281812668
japan,2007,2,0.27392739057540894
mexico,2007,2,0.052805282175540924
south_korea,2007,2,0.3762376308441162
russia,2007,2,0.5907590985298157
south_africa,2007,2,0.023102309554815292
turkiye,2007,2,0.10561056435108185
united_kingdom,2007,2,1.042904257774353
united_states,2007,2,2.3036303520202637
australia,2007,3,0.06939224153757095
brazil,2007,3,0.0462614931166172
canada,2007,3,0.13011044263839722
china,2007,3,0.41057074069976807
france,2007,3,0.2949170172214508
germany,2007,3,0.2775689661502838
india,2007,3,0.14456716179847717
italy,2007,3,0.08095761388540268
japan,2007,3,0.1850459724664688
mexico,2007,3,0.08095761388540268
south_korea,2007,3,0.2833516597747803
russia,2007,3,0.39033135771751404
south_africa,2007,3,0.08963163942098618
turkiye,2007,3,0.1011970192193985
united_kingdom,2007,3,1.090036392211914
united_states,2007,3,1.9545481204986572
australia,2007,4,0.0673033744096756
brazil,2007,4,0.01922953687608242
canada,2007,4,0.19550028443336487
china,2007,4,0.3333119750022888
france,2007,4,0.2595987319946289
germany,2007,4,0.16986089944839478
india,2007,4,0.1346067488193512
italy,2007,4,0.0673033744096756
japan,2007,4,0.14101660251617432
mexico,2007,4,0.08973783999681473
south_korea,2007,4,0.201910138130188
russia,2007,4,0.285238116979599
south_africa,2007,4,0.0416639968752861
turkiye,2007,4,0.11537721753120422
united_kingdom,2007,4,0.8300749659538269
united_states,2007,4,1.7691173553466797
australia,2007,5,0.05191434174776077
brazil,2007,5,0.025957170873880386
canada,2007,5,0.21739129722118378
china,2007,5,0.3244646191596985
france,2007,5,0.30175212025642395
germany,2007,5,0.25957170128822327
india,2007,5,0.1492537260055542
italy,2007,5,0.09733939170837402
japan,2007,5,0.11031797528266907
